username,timestamp,likes,komentar
indonesia.production,17/1/2026, 20.08.59,0,"Bang @hotmanparisofficial walau abang Sdh tdk sebagai penasehat hukum Pak Nadiem. Apakah Abang msh bisa membela kalau Pak Nadiem benar benar tdk bersalah?"
depot.kana,17/1/2026, 19.18.35,0,"Presiden hrs bebaskan Nadiem"
adlia_tech,17/1/2026, 18.21.51,0,"Percayalah DPR bs memecat presiden"
nupy_notsnoopy,17/1/2026, 13.34.18,0,"Gmn dengan gaji para anggota dewan yg ngga becus kerja dan ngabisin anggaran negara. Bukankah itu termasuk merugikan bagi kami rakyat yg sudah bayar pajak 😂"
arianto_wahyudi,17/1/2026, 09.32.08,0,"Kesalahan nadiem cuma satu. Dia bukan org partai mau jadi mentri. Bunuh diri sih"
ragam_mochi,16/1/2026, 20.33.10,0,"KRIMINALISASI ?"
maria_erlytacahya,16/1/2026, 14.01.58,0,"Erik thohir aman aja 😂"
ibrahimhalim31_,16/1/2026, 07.42.49,0,"Haha ngerugiin negara😂 Itu pejabat kalo emang iya ngerugiin negara bisa dipenjara, udah pasti penjara full"
kamaruzam3367,15/1/2026, 10.00.38,0,"Mulyono gk tersentuh sama sekali gacor🔥"
hui.siong.1973,15/1/2026, 06.39.54,0,"Ngeri hukum kita ini, undang2nya gak jelas jd pejabat harus hati2 dalam bertindak. Salah2 pejabat baik bisa jd tersangka gara2 klo gak disenengin oleh lingkungannya bisa dijebak lewat undang2 yg notabene dibuat oleh dpr2 yg asal aja buatnya jd banyak celah di undang2 yg diterbitkan tersebut."
tri.admaji,14/1/2026, 22.10.37,0,"Dimana ada pejabat jujur dan tegas disitu byk mavia pejabat lain yg ngk suka🔥🔥🔥"
tjungminfui,14/1/2026, 08.34.44,0,""
wirawanhelmi,14/1/2026, 03.11.54,0,"Wkwk tumbal"
rafaalmars,13/1/2026, 19.15.03,0,"Sdh sukses ngapain ikut ikutan Jokowi ,mau gantikan Anis,jadi gini ending nya."
dwi_putra_11,13/1/2026, 10.40.01,0,"Kasus nadiem aja sampe di sorot wartawan luar karna tau nadiem cuma jadi kambing hitam"
thoriq_listrik,13/1/2026, 08.28.49,0,"Ngomong soal ngerugiin negara, noh garuda udh berapa ribu triliun merugikan negara? 😂"
retno_erwina,13/1/2026, 08.04.02,0,"🤲🤲👍"
