username,timestamp,likes,komentar
guamulusi_,27/5/2026, 10.57.47,3,"Jadi kesalahannya hanya karna mematikan hak daerah dan mengambil alih tugas teknis pengadaan ? .. 3 kesimpulan ini bukan keseimpulan akhir .. 1. Memperbesar kekuasaan menteri ,tujuannya apa ()? , 2. Mematikan hak daerah (tujuannya apa), 3. Mengambil alih tugas pengadaan (tujuannya apa ? , tidak terbukti adanya korupsi) ."
samara_travelindo,23/5/2026, 01.30.19,2,"Bisa jawab gimana kasus meykarta, padahal owner pasti tau tentang penyuapan ke bupati. Tapi gak diciduk tuh owner proyek meykarta. Ini yang menyedihkan dinegeri ini, nadim dijerat, kenapa bos meykarta gak. Tanya kenapa?? Tlg bantu jawab pak"
danuahmad2009,21/5/2026, 23.37.31,104,"BUKTI FISIK/MATERIIL adanya NIAT JAHAT apa Bos ???? Kekayaan Nadim ??? Audit yang dilakukan 2 kali oleh BPKP sendiri menyatakan TIDAK ADA MASALAH. Kenapa setelah BEBERAPA TAHUN KEMUDIAN MUNCUL AUDIT JILID 3 YANG MENYATAKAN  KERUGIAN NEGARA ??????? JAKSA MENGGUNAKAN AUDIT BPKP JILID 3 APAKAH SESUAI ATURAN UU/HUKUM ????? SIAPA YANG BERWENANG SECARA UU/HUKUM UNTUK MENYATAKAN KERUGIAN NEGARA ??????????????????????"
andironaldomarbun,27/5/2026, 22.56.32,2,"(1) Permen boleh mengatur hal teknis dan lebih detail daripada UU atau Perpres. Kalau dirasa bertentangan, seharusnya diuji secara materiil ke MA (karena di bawah UU). (2) Penyesuaian pada Permen menurut gue sah2 aja sih, dan seharusnya emang level C suite ya itu fungsinya (bukan sekadar nrimo yang bisa jadi bikin ribet dan ga menyelesaikan masalah yang ditargetkan dengan APBN tersebut). Kalau ada aturan terlalu ribet, apa salahnya disimplifikasi. Dan again, kalau dirasa ada yang salah, manfaatkan MA or MK (kalau UU ke atas). Itu tugas mereka. (3) Gue taulah kapasitas orang daerah. Walaupun bukan ASN, udah liat banyak program pemerintah ga bisa dilakukan oleh pemda dan akhirnya nyusahin pusat. Kalo gue jadi pemimpin, gue bisa melakukan dua hal untuk ini: meningkatkan kapasitas daerah biar sesuai kebutuhan (yang sebenarnya udah dilakukan oleh Pemerintah pusat tapi berkali2 gagal, terbukti dari hasil juga dan akhirnya nyusahin pusat lagi) and/or menyesuaikan aturan biar kerjaan tetap lancar (dan daerah ga bikin gue repot or menghambat target KPI gue). Itu yang dilakukan oleh Nadiem di sini (keliatannya). (4) Kalau terbukti tidak ada aliran dana yang menguntungkan dia, apapun yang dilakukan dengan mengubah aturan ga bisa disimpulkan sebagai niat untuk melakukan tipikor (meanwhile, kasus dia jelas terkait tipikor di sini)."
savvytrader,28/5/2026, 07.23.51,1,"TUHAN bela @nadiemmakarim ❤️🙌🙌🙌🙌"
savvytrader,28/5/2026, 07.22.05,1,"JIKA HUKUM BISA sedemikian LUARBIASA ketat , maka senayan dan sekitar nya akan dihuni oleh Angin . IRONIS NYA, individu yang BTP dan CERDAS Itu menjadi PR utk para londo irenk lengserkan dengan cara tidak terhormat. LUARBIASA sudah beberapa alumni “HARVARD” kena jeblosss penjara 👏👏👏👏👏 Seluruh Rakyat +62 tetap semangattttt yaa, perjuangan bangsa melawan londo irenk belum selesai 🔥🔥🔥🔥🔥"
savvytrader,28/5/2026, 07.18.20,1,"JIKA sudah ada niat jahat mensrea, ini justru datang nya dari pihak keadilan , SUDAH diam2 mengincar @nadiemmakarim dikarena kan dia adalah sosok  indonesia yang BTP dan luar biasa berhasil@menelurkan jutaan lapangan kerja dan memberikan makan puluhan juta mulut. Ini menciptakan rasa “IRI DAN DENGKI” dan hanya bisa di tumbangkan lewat hukum sesuai interpretasi pasal tersebut TANPA mempertimbangkan yg lain nya 😢 😢😢"
likinbolo,21/5/2026, 20.54.57,21,"Lihat rakyat Indonesia itu sangat ironis kejaksaan menangkap koruptor bukan nya di dukung justru di katakan kriminalisasi"
travelerxyz88,28/5/2026, 06.53.11,1,"Selama TIDAK ADA HUKUMAN MATI & DIMISKINKAN BAGI PARA KORUPTOR DAN KELUARGANYA, Indonesia akan TERUS MENJADI NEGARA GAGAL. 😏"
hartoyosotoy,21/5/2026, 23.54.35,5,"Yang ratusan trilyun 6 tahun, kenapa yang ngga dapet dana 18 tahun,😮😮😮"
