username,timestamp,likes,komentar
rezzkyy_xteen,30/6/2026, 22.19.28,1,"Calon presiden 2029 wajib berani mengadili mulyono, pasti gua cobloss🔥"
rhadit.akbar,30/6/2026, 17.28.16,2,"😢😢😢"
ayutania777,1/7/2026, 03.51.40,5,"Penyesalan terbesar pak nadim adalah menjd mentri, kasian sekali org baik di solimi semoga tuhan mendengar doa mu pak 🙏"
juaramunthe,30/6/2026, 20.38.08,1,"Wni tidak bisa minta tolong di negaranya sendiri..."
itsna001_,1/7/2026, 06.47.08,0,"😢"
irlanalarancia17,1/7/2026, 14.29.59,11,"Lagian dulu gojek dikerahin siey dukung mulyono sampe dapet posisi jadi mentri"
dimastadarus,30/6/2026, 17.35.39,330,"Minta sama Allah pak di sepertiga malam terakhir.. Doa senjata umat muslim"
hasanuddin_jr99,3/7/2026, 16.51.08,1,"Pak AP"
griannnn_,30/6/2026, 19.50.15,8,"negara sama pejabatnya pada sakit"
egaaaraluvly,3/7/2026, 14.42.33,1,"Semoga Allah selalu menjagamu pak Nadiem, ingat sebaik2 pembalasan adalah milik Allah 🤲"
piwan1033,3/7/2026, 13.48.20,1,"Minta sama allah pak,,dan tuntutlah mereka yg tlah menyakiti bapak di ahirat😢"
hardjoutomolizz,3/7/2026, 11.50.52,1,"..Proud of you, Pak @nadiemmakarim Terima kasih atas dedikasi, kerja keras, dan segala pengorbanan yang telah Bapak berikan untuk negeri ini. Tetap sehat, tetap kuat, dan tetap semangat menghadapi setiap proses yang ada. Semoga kebenaran dan keadilan menemukan jalannya. Gusti Allah mboten sare. Semoga Bapak senantiasa diberi kesehatan, ketenangan hati, kekuatan, serta selalu berada dalam lindungan-Nya bersama Ibu dan putra-putri tercinta.🙏🙏🙏"
ana_lesha_,1/7/2026, 00.42.50,45,"💔"
tgwhp,1/7/2026, 16.21.45,1,"presiden liat ginian ga si? @prabowo"
rachma.linggar,30/6/2026, 21.32.05,2,"Ini pemerintah mau ambil alih gojek apa gimana sih? Udah ga punya duit buat MBG yaaa 😡😡"
dougoliruing,30/6/2026, 18.49.11,2,"Allah tidak tidur"
iqblansh,30/6/2026, 22.51.49,1,"Presiden nya dlu g ikut tanggung jawab?"
rama_jee,30/6/2026, 18.11.14,16,"😢😢"
jaychen.live,30/6/2026, 20.07.17,0,"@prabowo"
megaprwnt,1/7/2026, 08.24.12,1,"Rip keadilan🥀"
tikahsahar_,30/6/2026, 18.24.58,17,"😢"
kakainda_,2/7/2026, 15.17.04,1,"Naikkan ke pengadilan internasional bisa gak ya min? Sedih bgt ya liat hukum indonesia 😭🥀"
bembygusti,30/6/2026, 22.31.07,85,"Sayangnya hakim2nya bertuhan Uang"
bisew,1/7/2026, 01.44.18,14,"Being Indonesian is super sad 😢"
cekbari_raisyaplg,30/6/2026, 21.24.21,1,"gapain.  korufsi.  dan kasih. jalan. buat 2. orang. korufsi.  salah. sendri.  kenapa. kasih. cela. orang. utuk. korufsi😂😂"
halfaliensss,30/6/2026, 16.58.36,1,"Masa iya “HAKIMNYA” bukan manusia?"
drew.arc,1/7/2026, 23.45.22,1,"Tentukan tanggalnya Guys, kita hakimi hakim"" bersama rakyat Indonesia. Kita selamatkan Hukum dan keadilan negara ini. Penegak hukum di Negara konoha ini sudah tidak berfungsi. Banyak korban Kriminalisasi. buta fakta, matanya ketutup Uang. Banyak kasus rakyat dikriminalisasi karena Hakim tidak kompeten tidak paham resiko investasi dan korupsi. Yang korupsi jelas terang benderang tidak ditindak. sampah sekali Hakim' jaksa negeri tikus."
purnamawatigrace,30/6/2026, 17.38.54,1,"JGN PUTUS ASA PAK NADIEM...JGN LUPA ADA TUHAN YG MAHA KUASA...SBG HAKIM DUNIA AKHIRAT..PERCAYALAH...TUHAN TAHU SEMUA ITU..TETAP PERCAYA DAN INGAT JANJI TUHAN..RENCANA TUHAN DLM HIDUP KITA SELALU BAIK...KITA TUNGGU TUHAN BEKERJA DG CARANYA..AMIIN🙏🙏🩵🩵"
etika_dhanasworo,30/6/2026, 20.38.22,1,"Paakk 😭"
apriliatrisetyawatii,1/7/2026, 03.26.39,1,"😭😭😭"
anmaps07,2/7/2026, 20.21.05,1,"JIKA ""DADANG B*NGSAT"" HUKUMANNYA LEBIH RENDAH DARI PADA ""PAK NADIEM"" SAYA  RASA PRABOWO PUN HARUS DAPAT SANKSI DARI RAKYAT INDONESIA "" 2029 GANTI PRESIDEN"""
rinmarlineazzahra,2/7/2026, 20.19.14,1,"Sebelum masuk pengadilan akhirat hakim dan jaksa itu akan dapat karma yg tertuju nanti di anaknya, istrinya, atau cucunya, pengadilan sesungguhnya di dunia🔥"
hanjani1204,30/6/2026, 22.21.00,1,"Ya Allah semoga pak Nadiem dimudahkan dan mendptkan keadilan.. 🙏"
yoseph_kwee,1/7/2026, 06.42.04,4,"Diam aja lu pak @prabowo ?? 😢"
hestiyas,30/6/2026, 16.38.28,11,"Sedih banget 😢"
satelakalaka,30/6/2026, 21.44.31,1,"😭😭😭😭"
maulanaagungfajar,30/6/2026, 20.57.46,1,"Ada Allah SWT yang akan membalas mereka pak😢😢🥀"
niningnonic,30/6/2026, 20.09.58,1,"Minta tolong SM Alloh SWT..Krn Doa sebaik2 penolong..entah jaksa n hakim..mrk makhluk..tp Allohlah tempatmu berserah Ats ketidak Adilan ini..yakinlah..Alloh  sesuai prasangkamu..smg Alloh sll menjagamu pak amiin"
ochariska_,30/6/2026, 22.04.41,6,"😭😭😭"
bayu76115,2/7/2026, 17.47.20,1,"😡"
singgi29,30/6/2026, 22.14.11,2,"Ngeri kali efek pria solo ya, jahatnya luar biasa, planga plongo, tp kejam sekali, waktu itu limbong, sekrg nadiem, tumbal2 semua, kasihan sih org yg bnr2 kerja d jadikan tumbal, limbong untung masih bisa selamat, dan itu pun d selamtkan prabowo, kalo.ini gk tau lah"
bayu76115,2/7/2026, 17.42.05,1,"Laporin ke mahkamah agung hakim kayak gitu terus pak Nadiem semoga  Allah panjang umur minta kerja sama ya ke ikatan avokat seluruh Indonesia minta naik banding laporkan hakim tersebut ke mahkamah agung itu hak boleh naik banding karena ada kecacatan hukim"
rian_syakbani,1/7/2026, 15.57.35,1,"Masyarakat emang bisa apa .? Harapan itu sama tuhan harus itu 😮‍💨 ."
teddysasn,30/6/2026, 21.25.23,1,"Orderan Mulyono"
njie_aditya,2/7/2026, 09.03.57,1,"kasih tau kita kudu gmna 😭"
dwiastuti1727,2/7/2026, 11.27.20,1,"Curahkan semuanya semuanya kepada Allah pak.. biar Allah yg menghukum mereka yg berlaku tidak adil. 😢"
titislistyowati,1/7/2026, 07.49.39,2,"Denger Pak Nadiem, aku ikutan mewekk 😭 sabar pak, InsyaAllah kebenaran menemukan jalannya dan orang tulus, sabar dan terzolimi akan diangkat derajatnya 🤲"
intannuraini4124,11/7/2026, 14.16.34,0,"Org yg berjasa pada masyarakat kok malah d hukum. Anjiir..... Org yg jelas2 korupsi kok bsa bebas..... Woiii."
bangbhuds,11/7/2026, 13.26.03,0,"Harusnya lihat sisi baik di sudah memberikan jalan rejeki bagi driver untuk dpt kerjaan.. apakah pemerintah bisa seperti itu.."
