username,timestamp,likes,komentar
panjioctalibriana,11/5/2026, 07.09.48,3,"Itulah mengapa banyak ortu yg ingin anak-anaknya jadi pejabat, aparat dsb. Ya krn dipercaya dapat validasi yg dicari dan bisa kebal hukum"
stmades,5/5/2026, 20.06.08,5,"Kasih paham, King! 👑"
deglengpaijo,5/5/2026, 16.38.10,4,""
mandjusri,5/5/2026, 21.46.45,4,"Bebaskan Nadiem!!!"
febrysalsinha_,6/5/2026, 05.20.26,6,"What a shame buat penegak hukum. Belajar bertahun2, kuliah tinggi2, tapi gag mampu (literally) membedakan mana yg benar dan tidak. Dan ini bukan kali pertama. What a shame!!!"
yud_monteiro,12/5/2026, 21.36.27,1,"shame on you @kejaksaan.ri , kriminalisasi makin terang2an 👎👎👎"
roby_abu_hanifah,14/5/2026, 10.05.31,1,"Mas @nadiemmakarim .. Permintaan jokowi apa yang tidak anda kabulkan..? atau Ketersinggungan apa yang anda perbuat pada Teddy bunai hingga prabowo marah....? Simpel kan..??? . Akhirnya.. Bukan hanya warga 58% merasakan dampak KEBIJAKAN 10 Tahun Yang Menghancurkan SDM n SDA Indonesia..  . Kebodohan Trus Dipelihara... Serta Tidak adanya lagi Rasa aman Dari penegak Hukum Dan Keadilan Yang Melindungi Rakyat kecil... ntah itu keluarga, sahabat, tetangga kita.. PASTI AKAN MERASAKAN DAMPAKNYA NANTI.. TUNGGULAH... INGAT, Perlu Puluhan Tahun Memperbaikinya.  . Mari Didik Untuk Cerdas 2029 #tetaplahbodoh #terimabansosbodohlahterus #rakyatgakbolehpintar"
handikaputraprakasa,6/5/2026, 13.40.00,3,"Wkwk yang katanya penuh tangkapan ternyata tebang pilih kasus rek"
donny_wiratama,11/5/2026, 22.32.54,0,"Ya Allah…."
pendiariawan26,7/5/2026, 15.12.24,4,"Setau saya dana google it langsung ke vendor pmbuat yg di tunjuk. Croombok it program google,sama seperti android one. Jdi ya mudah hranya di telusuri pagil vendor pembuat,misal samsung,atau acer,atau asus,benahkah insentif croombok it masuk.🙌 kasus simpel di buat rumit."
fachri1064,8/5/2026, 12.59.13,1,"😂 Mana ada korupsi mau mengaku tapi klo melemparkan ke orang lain pasti iya,inilah sumbu2 dari pemerintahan sebelumnya....eks menteripendidikan,menteri agama,menteri BUMN,menkominfo,Menkeu dan menteri investasi dan menpora yg ranah mudah untuk jadi bahan korup. ..😁☕"
idabagusjara,5/5/2026, 19.08.02,7,"Terus kritisi 🔥"
lakara.story,6/5/2026, 18.39.50,1,"coba klo ke jokowi pasti ada"
ridwansyah.ak,6/5/2026, 08.03.35,2,"Hukum manusia bergantung siapa yg berkuasa 😂😂"
arga.ra_,6/5/2026, 14.20.54,1,"Yang begini dianggap merugikan, itu kepala bgn dan semua yang bersangkutan ga dianggap merugikan? Emang kalo program presiden mau se tolol apapun ga dianggap salah ya? 11 12 sama pak Harto wkwk 😂"
winoraorbz,6/5/2026, 08.02.49,3,"Makin lama ga ada orang Indonesia yang kompeten yang mau terlibat dengan pemerintah sih"
javamaukar1,6/5/2026, 00.40.48,1,"damnnn"
ekaaddin,5/5/2026, 16.18.53,2,"Melihat dakwaan Jaksa,  kayaknya nggak ada uang yang mengalir kepribadi , karena Sifatnya bisnis Google itu beli saham sahamnya goto... gitu nggak sih"
ariestwns,5/5/2026, 16.17.06,3,"Yang ini selanjutnya plis @d_hindayana"
lizzatizarizal,5/5/2026, 20.45.36,2,"Penjarakan yg nangkap"
yesitsauls,6/5/2026, 02.14.58,0,"Masa logika rakyat yg ga nempuh skolah hukum bisa ketemu, tpi jaksa nggak ada yg sadar?? Gini amat kualitasnya."
tn.bond007,5/5/2026, 16.29.16,2,"Bilang hidup MULYONO!!! Lu langsung aman!"
tonyfrndo,5/5/2026, 15.55.46,0,"Kriminalisasi"
bulm_8,5/5/2026, 15.55.12,0,"yang korupsi itu atek atek koruptor, mereka menyelinap dalam organisasi kementerian, buktinya setelah selesai dia menjabat pencapaian nya di hilangkan atau diganti nama aja seolah tak pernah ada,"
0mashaallahtabarakallah0,4/7/2026, 21.10.41,0,"Modus korupsi chromebook oleh Nadiem, Nadiem membuat ""kajian pesanan"" yang tidak masuk akal dan membuat rapat rahasia dengan perwakilan rahasia tanpa ada notula rapat resmi dan rekaman resmi ""kesaksian dari sekretaris dan beberapa pegawai terdekatnya"", rapat itu bertujuan agar hanya google yang menang tender lalu harga chromebook+komponen tambahan nya nya di markup ""bukti harga chromebook + komponen tambahan = harga laptop I3 + komponen yambahan"", begitu google menang google balas jasa dengan beli saham  perusahaan PT AKAB yang Nadiem jadi salah satu pemilik nya, PT AKAB belum go public jadi gampang cuci uang nya Krn tidak diaudit, saham yang diberikan ke google lebih rendah daripada jumlah uang  yang diinvestasikan google ""terbukti dari akta notaris"", uang selisih nya digunakan Nadiem untuk beli  saham PT AKAB lebih banyak lagi sehingga Nadiem jadi pemegang saham tertinggi dan jadi komisaris utama, begitu PT AKAB go public Nadiem jual sahamnya sehingga cair jadi uang cash. Sempurna lah cuci uang korupsi chrome booknya.  Masalahnya masyarakat awam masih banyak yang belum paham, diluar negeri korupsi dengan cara money loundry seperti ini sudah banyak yang di tangkap karena terlalu gampang pembuktiannya karena pencatatan modal tercatat di notaris, dan jelas banget ada conflict of interest karena dia komisaris perusahaan"
meietti,26/5/2026, 14.31.41,0,"Mens rea nya adalah pemufakatan atas google menguasai Indonesia jauh sebelum nadiem nedein menjabat bahkan sudah di sususn startegi pertemuan dan koordinasi nya ditangkap bukti valid Jaksa kami Indonesia.. Pemufakatan atas tehnologi yang tanpa filter samsekaki dibuka kran akses nya lebar lebarrrrr oleh kementrian pendidikan dengan dalih adanya kebutuhan chrome book .. Chrome book nya diputer-puter dana nya diputer puter. Intinya simpel nadiem dipercaya negara menjabat dipercaya negara menjadi mentri pendidik anaka anak bangsa kenyataan lebih ""berkolusi atas saham"" dibanding ""menjaga peradaban indnesia""  imbas atas google yang tumpah ruah tidak terkendali di guyur sebanyak-banyaknya nya ke anak anak bangsa saat pandemi..dan BOM itu meledak sekarang generasi bangsa dari SD SMP sma SMK mahasiswa kuliah bahkan Sekelas kedokteran spesialis ringan membully sampai jatuh korban Meninggal dimana mana.. Dosen dekan akademik guru sudah kehilangan esensi pendidik semua membeku dan fokus dunia belajar""mengajar. . Moral moral anak bangsa ditangan nadiem menjadikan peradaban Indonesia jatuh dan menempatkan anak indesia kondisi krisis moral. Pandemi adalah pintu masuk semua aplikasi google menguasai kualitas bangsa Indonesia ancur.. itulah nadiem.. Masih kau hitung matematika?? Nilai rupiah diputer puter di bahas di klaim tidak ada nilai uang segala macam?? Apa tersebut bisa mengembalikan generasi bangsa kembali sehat?? Kau KTP Indonesia ? Masih saja tidak bisa melihat mens rea Jaksa kami malu sama KTP ente bro.. Nadiem adalah produk gagal Indonesia yang kalian banggakan ? .. Gampang sih bertanya nya ..ayok ditest ya...kau mendukung IKN atau tidak? Simpel..silahkan jawab jujur dalam hati..jawaban anda itu jelass menunjukkan tingkat kebangsan kalian atas bangsa kalian sendiri Indonesia..zip...Presiden kami tidak akan membiarkan jabatan pangkat title kecerdasan spektakuler tapiiii real nya memenipulasi rakyat.. Semoga menginspirasi.. salam etti Mei."
denting_senja,25/5/2026, 03.29.15,0,"Kasus Nadiem ini menggambarkan bahwa kejahatan ini sesungguhnya merupakan  white collar crime (kejahatan kerah putih)populer di amerika... Korupsi tidak harus ada uang yang mengalir kepada terdakwa , kebijakan2 ketika nadiem jadi menteri negara yg sengaja untuk merugikan negara dan menguntungkan perusahaan dia itu juga merupakan KORUPSI ....."
fransiscusxaveriuss,20/5/2026, 11.52.10,0,"Kompaklahh 17 Agustus mengibarkan Bendera Setengah Tiang dan jgn ada Upacara"
adawiyabahagia,19/5/2026, 22.14.00,0,"#justicefornadiemmakarim"
morning_maniac,19/5/2026, 09.25.39,0,"Jaksa koruppp"
raymond_harwanto,19/5/2026, 05.46.49,0,"Pray for Nadiem👏"
bakteri.yakult16,19/5/2026, 01.03.39,1,"Ini tuh firasat gue agar pemerintah bisa beli saham Gojek Harga B.U (karna pak nadhim dibuat bangkrut sama tuduhan gamasuk akal) ujung²nya beliau presiden ingin mengabulkan janjinya kepada para driver ojol.. (ini opini pribadi ajasi)"
dionerawan,18/5/2026, 17.50.51,0,"JAKSA DAJJAL DISUAP AMPLOP DAN RUMAH SANGAT MEWAH SAMA PEJABAT ELITE KORUP MEMBUAT REKAYASA PALSU JAHAT DAN LICIK TUNTUTAN PERKARA KARANGAN CERITA SENDIRI BERDUSTA BERBOHONG MENGADA ADA DENGAN TUDUHAN FITNAH KERUGIAN NEGARA NOL PERSEN TIDAK ADA TERIMA UANG TERNYATA FIKSI, INI BUKAN PENEGAKAN HUKUM TAPI TINDAKAN KEJAHATAN BERKEDOK KEKUASAAN. HUKUM INDONESIA DIAMBANG KEHANCURAN. RIP KEADILAN"
djodi.ono,18/5/2026, 16.54.36,0,"Pak nadiem jahat banget"
dhzeehafiz,18/5/2026, 15.13.37,0,"U know what..think forward. He Will be eliminate for the next candidat (President RI). Its all politics. Who sit this chair past ?  Against the last leader."
dimasadty4,18/5/2026, 11.29.53,0,"ah bilang aja gadapet bagian 🤭😆"
anashrari,18/5/2026, 10.46.39,0,"Semangaaat mas @nadiemmakarim & keluarga ,sehat selalu , Tuhan memberkatin #justicefornadiem"
bayhaki_mandala,18/5/2026, 09.58.41,0,"Hukum mati harusnya"
mariskademaris,18/5/2026, 08.46.31,0,"Semngt pak..jngn putus asa 👏"
abrafrgh,18/5/2026, 00.24.43,1,"Gagal ditemukan = emang iya ada dana tapi ntar dicaerkan setelah kasus selesai dan siap dinikmati ."
tokugawasama,17/5/2026, 16.47.01,0,"Kan korupsi bukan cuma masalah aliran dana aja bos 😌"
dimas_surya_45,17/5/2026, 14.38.09,0,"Mendapatkan keuntungan diatas ""Total kekayaan saya"" dan lagi Jaksa ngebahas masalah Harta dia (Gojek) dalam Bentuk Saham/Likuiditas 😂"
m_qobullah_siregar,17/5/2026, 13.27.03,0,"Pertanda Negeri ini diambang kehancuran karena dikelola oleh orang-orang yang serakah, korup dan Dzolim."
avich.and,17/5/2026, 12.38.50,0,"Tetap tegar pak @nadiemmakarim  dan keluarga😢 spechless sm pemerintah skrg"
raify_n,17/5/2026, 11.44.24,0,"Lucunya tuduhan merugikan uang negara sering kali diubah menjadi senjata politik"
fikrialfi9,17/5/2026, 06.40.19,1,"Itu Bu Mentri nya yang paham hukum malah kabur jir ke ausie 😂 aduhai kesalahan pak Nadiem ni ngasi kepercayaan gede sih sama bawahan giliran bawahannya ngaco keseret kan 😂"
dioagengfernando_,17/5/2026, 01.50.02,0,"he needs Saul Goodman"
ldyalnda,16/5/2026, 22.39.47,0,"Semangat paa kebenaran akan menemukan jalannya sendiri 🔥"
krystellesofya,16/5/2026, 20.10.06,0,"diluar sana banyak koruptor yg berdasi dan setelan jas rapi 😁😁 klo bicara hukuman pelaku pembunuhan lebih rendah daripada dia, tunggu dulu ada Ferdy Sambo dengan hukuman mati ya dan sekarang jadi hukuman seumur hidup 😁😁 kata gw teh lu cengeng banget jadi koruptor 😁😁 klo mau bebas ya sedari awal balikin uang hasil korupsi chromebook itu. sita aset/uang yg disembunyikan di dalam maupun luar negeri 😁😁 semua uang hasil korupsi yg merugikan keuangan rakyat 😁😁 wong duit yg dikorupsiin duit rakyat 😁😁 wajib dikejar dimana uang korupsi itu 😁😁 semangat berantas koruptor"
irawan.aulia1985,16/5/2026, 19.47.26,0,"Semoga Alloh memberikan Hidayah kepada Majelis Hakim PT, serta menyegerakan Azab kepada Oknum APH (& Keluarganya) yg merekayasa Tuduhan & Menzolimi Pak Nadiem Makarim (& Keluarganya)... Amiin 🤲"
arikanami_z,16/5/2026, 18.50.14,0,"...."
dieerut,16/5/2026, 13.56.04,0,"Kesalahan beliau adalah sudah bli tpi tidak bisa pakai di daerah2 3T padahal Chromebook itu membutuhkan internet yg cepat semntara Indonesia pada saat itu internet masih terbatas jdi disinilah yg bikin rugi negara harusnya nadiem perlu chek kelapangan dulu ke daerah2 terpencil dan perlu uji coba juga  dan yg jdi pertanyaan juga knp dri banyaknya alat digitalisasi knp hrus dgn produk chromebook ?? Apa karna 1 persusaaan dg  gojek sma2 dri perusahaan Google juga ?"
pikpikpicpic,16/5/2026, 12.57.10,0,"@cnnpolitics @bbcnews @bbc_ua @kementerian_kurangajar"
wldn_hsnllh,16/5/2026, 12.04.17,0,"#negarasakit"
nena_huik,16/5/2026, 11.49.10,0,"@ronaldo92731"
catlyyyyyyyyy,16/5/2026, 09.41.55,0,"kok bisa ya tanya bukti tp dipidana"
yaelahhdul_,16/5/2026, 09.06.02,0,"jangan pernah ikut bantu negara di pemerintahan, nanti di jeblosin penjara @presidenrepublikindonesia @republikindonesia @prabowo @gerindra @habiburokhmanjkttimur @sufmi_dasco"
direyy__,16/5/2026, 08.16.21,0,"Otak jaksa kaga sampe sna. Dia cmn terima perintah yg ga jelas diselipin duit trs beres"
putu.kemal,16/5/2026, 08.14.36,0,"@kejaksaan.ri tracking aliran danamu dong mas hehe"
alfinfahrzy,16/5/2026, 07.57.16,0,"rakyat menengah kebawah aja..klo gk salah disiksa terus sampe ngaku salah"
gimu.04,16/5/2026, 06.37.37,0,"Klo kt Mahfud,,kejaksaan klo diusut, indonesia bs bubar,,saking segitu korupnya"
haikalhng_,16/5/2026, 06.36.04,0,"itu si siapa dadan dadang? pkonya di botak babi, kok ga di selidik? padahal jelas depan matak dan bisa di hitung di perkirakan dengan amat sangat logis, apa yang si botak babi itu ajukan harga barangnya dia naikan berkali-kali lipat, knapa kpk pada diem? giliran yang bersangkutan dengan pendidikan di cari cari kesalahannya🔥🙌"
tomy_wicaksono84,16/5/2026, 06.12.14,0,"Save Nadim...♥️♥️♥️♥️"
oinann_,16/5/2026, 05.51.17,0,"Kalu anda di vonis salah apa langkah anda selanjutnya? Wkwkwkwkw vonis salah? Salah ya di mana tolong jelaskan!!"
vel_tes1,16/5/2026, 02.36.29,0,"lu menterinya kenapa takut ngebongkar. sudahlah jgn kibul terus. harusnya setiap pelaku korupsi dihukum mati"
stayfarfrom,16/5/2026, 02.25.33,0,"Siapapun bisa dipenjara kalau negara suka. #sukasukanegara"
